,Tweets,Name,Length,Date,Source,location,Followers,Followings,Hashtags,Language,Likes,Retweets,Sentiment
100,"Reduction in interest rates on small savings heartless, must be rolled back: Congress https://t.co/ZumUlc5xoN via @TOIBusiness",The Times of India,126,2020-04-01 09:45:00,TweetDeck,New Delhi,12530719,530,,en,43,8,Controversial
101,Chinese scientists seeking potential Covid-19 treatment find 'effective' antibodies https://t.co/3FvEHYavDo via… https://t.co/Nha63npb6J,The Times of India,136,2020-04-01 09:40:00,TweetDeck,New Delhi,12530719,530,,en,55,15,Positive
102,"Around 1,200 people from Telangana had attended Markaz gathering in Delhi, some of them were found #COVID19 positiv… https://t.co/HXBStQEvqb",The Times of India,140,2020-04-01 09:37:34,Twitter Web App,New Delhi,12530719,530,COVID19,en,62,23,Neutral
103,"Delhi: Markaz building in Nizamuddin being sanitized. 

(Pics: ANI) https://t.co/vLNy8VKQ57",The Times of India,91,2020-04-01 09:37:08,Twitter Web App,New Delhi,12530719,530,,en,77,11,Neutral
104,Total 5 #COVID19 positive cases have been reported in Assam - 1 shifted to Silchar Medical College and Hospital and… https://t.co/2aeL4Wieg1,The Times of India,140,2020-04-01 09:35:47,Twitter Web App,New Delhi,12530719,530,COVID19,en,56,14,Positive
105,"How Covid-19 lockdown is hurting fishermen

Fishermen as well as the traders say the losses could go up to a few cr… https://t.co/abHl50Fixw",The Times of India,140,2020-04-01 09:35:00,TweetDeck,New Delhi,12530719,530,,en,29,5,Controversial
106,"Wipro, Azim Premji Foundation commit Rs 1,125 crore to tackle #Covid19 
 
Of the Rs 1,125 crore, Wipro Ltd's commit… https://t.co/Wka8xTyruw",The Times of India,140,2020-04-01 09:33:34,TweetDeck,New Delhi,12530719,530,Covid19,en,1449,360,Neutral
107,"Day 8 of lockdown: Ground report from various Indian cities 

Amid prevalent chaos and uncertainty over access to t… https://t.co/UtWKG20ju6",The Times of India,140,2020-04-01 09:32:39,Twitter Web App,New Delhi,12530719,530,,en,31,6,Neutral
108,"#Covid19 death toll crosses 1,000 in #NewYorkCity 

At least 8,400 people are hospitalized and of those, at least 1… https://t.co/yULmZa1nXZ",The Times of India,140,2020-04-01 09:30:00,TweetDeck,New Delhi,12530719,530,Covid19,en,29,8,Controversial
109,"RT @toisports: #COVID19: Twitter divided after @YUVSTRONG12 and  @harbhajan_singh support @SAfridiOfficial

READ: https://t.co/wThxE7n6eb…",The Times of India,138,2020-04-01 09:26:44,Twitter Web App,New Delhi,12530719,530,COVID19,en,0,3,Neutral
110,"Watch: @IamKirtiKulhari opens up on her marriage with #SaahilSehgal in this EXCLUSIVE chat! (via @etimes)

https://t.co/nMyh7KNL98",The Times of India,130,2020-04-01 09:20:48,Twitter Web App,New Delhi,12530719,530,SaahilSehgal,en,18,3,Neutral
111,"Pakistan's coronavirus tally reaches 2039, Command Centre in place for coordinated response https://t.co/BAnRaj0iCz via @TOIWorld",The Times of India,129,2020-04-01 09:20:00,TweetDeck,New Delhi,12530719,530,,en,34,6,Neutral
112,Uber launches 24/7 transportation service for frontline healthcare workers https://t.co/7ZiJU5uLpg via @gadgetsnow https://t.co/jMzSxAeXOF,The Times of India,138,2020-04-01 09:10:00,TweetDeck,New Delhi,12530719,530,,en,35,8,Neutral
113,"If anyone loses their life while serving #COVID19 patients, whether sanitation workers, doctors or nurses, their fa… https://t.co/C4VqsQl1dX",The Times of India,140,2020-04-01 09:09:56,Twitter Web App,New Delhi,12530719,530,COVID19,en,188,28,Controversial
114,'Insult is heaped on injury': Omar Abdullah slams government over new J&amp;K domicile rule https://t.co/2024ECmfo2,The Times of India,115,2020-04-01 09:09:49,TweetDeck,New Delhi,12530719,530,,en,140,12,Positive
115,"#CoronavirusOutbreak

#Covid19: An overview of India's 10 hotspots

Govt is focusing its attention on 10 'hotspots'… https://t.co/AjOx4r9RWK",The Times of India,140,2020-04-01 09:00:35,TweetDeck,New Delhi,12530719,530,CoronavirusOutbreak,en,30,8,Neutral
116,"China starts to report asymptomatic coronavirus cases 

In an effort to dispel public fears about hidden cases of t… https://t.co/JTKDfj2UK1",The Times of India,140,2020-04-01 09:00:00,TweetDeck,New Delhi,12530719,530,,en,25,9,Controversial
117,"Tamil Nadu, Bihar, Rajasthan, MP, Gujarat, Haryana, Andhra Pradesh, Assam, Maharashtra, and Kerala CMs have been to… https://t.co/1xAG0ml5C4",The Times of India,140,2020-04-01 08:55:42,Twitter Web App,New Delhi,12530719,530,,en,122,16,Neutral
118,"Prime Minister Narendra Modi to hold video conference with chief ministers on Thursday at 11am.

#CautionYesPanicNo… https://t.co/63xV9q46HX",The Times of India,140,2020-04-01 08:54:17,Twitter Web App,New Delhi,12530719,530,CautionYesPanicNo,en,77,10,Neutral
119,"A railway police head constable has tested positive for #COVID19. He has been quarantined at Kasturba hospital, Mum… https://t.co/FctsqzA4Bq",The Times of India,140,2020-04-01 08:52:13,Twitter Web App,New Delhi,12530719,530,COVID19,en,128,16,Positive
120,"In the light of #CoronavirusPandemic, the Govt of Puducherry has decided to ask landlords to not demand rent from t… https://t.co/7RnIISMatb",The Times of India,140,2020-04-01 08:51:45,Twitter Web App,New Delhi,12530719,530,CoronavirusPandemic,en,47,0,Positive
121,.@priyankachopra has extended her support to women serving in forces and industry amid #coronavirus pandemic! (via… https://t.co/YCWWN3dmEZ,The Times of India,139,2020-04-01 08:50:15,Twitter Web App,New Delhi,12530719,530,coronavirus,en,14,3,Neutral
122,RBI announces more measures to deal with Covid-19 pandemic https://t.co/e7s0Ds49JG via @TOIBusiness https://t.co/t6N0y1S0a0,The Times of India,123,2020-04-01 08:50:00,TweetDeck,New Delhi,12530719,530,,en,25,3,Positive
123,We've identified 6 people from Puducherry &amp; 3 from Karaikal who had attended Tablighi Jamaat meeting in Delhi. Thei… https://t.co/1w5h9GDGFi,The Times of India,144,2020-04-01 08:48:22,Twitter Web App,New Delhi,12530719,530,,en,73,7,Neutral
124,India's oldest coronavirus survivor a teetotaller and non-smoker who loves his rice gruel with tapioca chips… https://t.co/cjo9aICVc7,The Times of India,133,2020-04-01 08:45:00,TweetDeck,New Delhi,12530719,530,,en,63,11,Neutral
125,"Clash likely in Australia if #football reaches #cricket season 

READ: https://t.co/fVCWTjDdZv

#COVID19… https://t.co/bDGeXMZJK4",The Times of India,129,2020-04-01 08:40:00,TweetDeck,New Delhi,12530719,530,football,en,15,2,Neutral
126,Coronavirus droplets could travel up to 27 feet: MIT scientist https://t.co/2OfA3w7IIj via @TOIWorld,The Times of India,100,2020-04-01 08:30:00,TweetDeck,New Delhi,12530719,530,,en,61,21,Neutral
127,Kerala: 22 people from Mallapuram district had attended the (Tablighi Jamaat) meeting at Delhi's Nizamuddin. They h… https://t.co/EcajBI58OO,The Times of India,140,2020-04-01 08:27:50,Twitter Web App,New Delhi,12530719,530,,en,77,9,Neutral
128,SC seeks Centre's response in a week on a Nagpur-based doctor's plea for making available WHO approved PPE to docto… https://t.co/B9XwolYrip,The Times of India,140,2020-04-01 08:26:46,TweetDeck,New Delhi,12530719,530,,en,13,2,Positive
129,26 people of Uttarakhand participated in #TablighiJamaat event at Delhi's #NizamuddinMarkaz. They are still in Delh… https://t.co/vxCl2sqLQF,The Times of India,140,2020-04-01 08:24:48,TweetDeck,New Delhi,12530719,530,TablighiJamaat,en,102,15,Neutral
130,News Broadcasters Association (NBA) welcomes the Supreme Court order dated 31.3.2020 and agrees that the media shou… https://t.co/d6OYQYaJET,The Times of India,140,2020-04-01 08:23:13,TweetDeck,New Delhi,12530719,530,,en,141,15,Neutral
131,"18 residents of Lucknow, who participated in #NizamuddinMarkaz event in Delhi, have not returned to the city. 24 fo… https://t.co/iBdyxugxml",The Times of India,140,2020-04-01 08:22:31,Twitter Web App,New Delhi,12530719,530,NizamuddinMarkaz,en,11,1,Neutral
132,Ten people who arrived in Poonch district after attending Tablighi Jamaat (in Delhi's Nizamuddin) have been identif… https://t.co/FBDebNHakB,The Times of India,140,2020-04-01 08:21:55,TweetDeck,New Delhi,12530719,530,,en,56,3,Neutral
133,Harry and Meghan embark on new life in Los Angeles https://t.co/4gKnTvguwD via @TOIWorld https://t.co/oTGPm4fXXW,The Times of India,112,2020-04-01 08:20:00,TweetDeck,New Delhi,12530719,530,,en,66,3,Positive
134,"Discrimination amid pandemic, Pakistan refuses to give food to Hindus as coronavirus rages 

""Authorities are not h… https://t.co/W2kZ2ZbaVB",The Times of India,140,2020-04-01 08:13:24,TweetDeck,New Delhi,12530719,530,,en,213,105,Neutral
135,"#Cricket #INDvAUS #SouravGanguly #VVSLaxman

@ShaneWarne picks @SGanguly99 as skipper of his greatest Indian XI,… https://t.co/gLDxjrdBKK",The Times of India,137,2020-04-01 08:10:00,TweetDeck,New Delhi,12530719,530,Cricket,en,63,5,Positive
136,Man allegedly committed suicide in Madurai because some of his neighbours circulated a video claiming he was Covid-… https://t.co/W89ThRB9zx,The Times of India,140,2020-04-01 08:07:18,Twitter Web App,New Delhi,12530719,530,,en,793,135,Controversial
137,"200 people including 4 from Bengaluru &amp; 5 from Belgaum, who participated in Tablighi Jamaat (in Delhi's Nizamuddin)… https://t.co/dnk1x4bPqE",The Times of India,144,2020-04-01 08:06:18,Twitter Web App,New Delhi,12530719,530,,en,73,11,Neutral
138,"'Sailors do not need to die,' warns captain of coronavirus-hit US aircraft carrier https://t.co/Qnu57uunw2 https://t.co/y3ZthdeP3j",The Times of India,130,2020-04-01 08:00:00,TweetDeck,New Delhi,12530719,530,,en,66,7,Neutral
139,"#CoronavirusOutbreak: Positive cases jump to 1,637; death toll in India now 38

#CoronavirusOutbreak #Covid19India… https://t.co/VzAEijGP40",The Times of India,139,2020-04-01 07:51:46,TweetDeck,New Delhi,12530719,530,CoronavirusOutbreak,en,46,11,Positive
140,"China lockdown may have blocked 700,000 virus cases: Researchers https://t.co/nXkxNWHyqU via @TOIWorld 

By day 50… https://t.co/RTQTe451NC",The Times of India,139,2020-04-01 07:50:00,TweetDeck,New Delhi,12530719,530,,en,42,9,Neutral
141,Centre seeks Supreme Court's direction asking media to report official version on coronavirus https://t.co/Ms18yoU0HC,The Times of India,117,2020-04-01 07:45:00,TweetDeck,New Delhi,12530719,530,,en,51,5,Neutral
142,"Efforts on to evacuate 2,000 foreign tourists from Goa https://t.co/LiYmL5At7g https://t.co/Bx8npNlegY",The Times of India,102,2020-04-01 07:34:19,TweetDeck,New Delhi,12530719,530,,en,50,6,Controversial
143,"RT @toisports: Sports Minister @KirenRijiju appreciates @TheHockeyIndia's contribution to #PMCaresFund 

READ: https://t.co/3aCGv1OFzR

#Ki…",The Times of India,140,2020-04-01 07:33:43,TweetDeck,New Delhi,12530719,530,PMCaresFund,en,0,4,Neutral
144,"RT @toisports: #Hockey #HockeyIndia #CoronavirusOutbreak #CautionYesPanicNo 

@TheHockeyIndia donates Rs 25 lakh for fight against #COVID19…",The Times of India,140,2020-04-01 07:33:27,TweetDeck,New Delhi,12530719,530,Hockey,en,0,4,Neutral
145,Fourth dedicated flight with Russian nationals onboard departed from Delhi's Indira Gandhi International Airport to… https://t.co/IUnEKIzYCG,The Times of India,140,2020-04-01 07:30:08,Twitter Web App,New Delhi,12530719,530,,en,48,4,Neutral
146,86 residents of Bihar &amp; 57 foreigners who had attended Markaz in Delhi are being monitored. 48 people have been qua… https://t.co/G4GZWD2fkV,The Times of India,144,2020-04-01 07:30:04,Twitter Web App,New Delhi,12530719,530,,en,85,5,Neutral
147,Covid-19 death rate may be 0.6%: Lancet study https://t.co/nyBZ3Z41iS via @TOIWorld,The Times of India,83,2020-04-01 07:30:00,TweetDeck,New Delhi,12530719,530,,en,22,5,Neutral
148,Reserve Bank of India (RBI) has announced further measures for dealing with the #COVID19 pandemic - Extension of re… https://t.co/f3gI7n5j8R,The Times of India,140,2020-04-01 07:28:00,Twitter Web App,New Delhi,12530719,530,COVID19,en,38,3,Neutral
149,Italy doctors warn of 'bio bombs' from patients sent to care homes https://t.co/uKriRnJDNu via @TOIWorld https://t.co/PZIqSyPfVz,The Times of India,128,2020-04-01 07:20:00,TweetDeck,New Delhi,12530719,530,,en,68,7,Neutral
150,One more Covid-19 death in Kolkata. 57-year-old man from Belghoria dies at a local nursing home.… https://t.co/XqYknEnBdj,The Times of India,121,2020-04-01 07:19:20,TweetDeck,New Delhi,12530719,530,,en,30,1,Positive
151,"A special flight of Egypt Air (Delhi-Cairo-Salt Lake City, US) with 215 stranded United States nationals on-board d… https://t.co/DTUuwcbIEp",The Times of India,140,2020-04-01 07:17:53,Twitter Web App,New Delhi,12530719,530,,en,45,9,Positive
152,Price of LPG cylinders is at Rs 744.00 (decrease by Rs. 61.50) in Delhi and at Rs. 714.50 (decrease by Rs. 62) in M… https://t.co/GcApjQBHQn,The Times of India,140,2020-04-01 07:17:35,Twitter Web App,New Delhi,12530719,530,,en,336,35,Neutral
153,Karnataka: People queue outside a liquor shop in Gadag over rumours that the shop would open for a few hours today.… https://t.co/AHWkGP5FDE,The Times of India,140,2020-04-01 07:15:31,Twitter Web App,New Delhi,12530719,530,,en,98,12,Controversial
154,"UN chief says coronavirus is worst crisis since World War II 

Guterres called for a much stronger and more effecti… https://t.co/yjzJWTYtae",The Times of India,140,2020-04-01 07:10:00,TweetDeck,New Delhi,12530719,530,,en,70,9,Controversial
155,"US virus deaths pass 4,000: Johns Hopkins University https://t.co/YOKEKv3gA9 via @TOIWorld",The Times of India,90,2020-04-01 07:00:06,Twitter Web Client,New Delhi,12530719,530,,en,40,9,Neutral
156,"Manish Tewari hits out at Prime Minister Modi over medical aid to Serbia 

https://t.co/2HOeY2PbC3",The Times of India,98,2020-04-01 07:00:00,TweetDeck,New Delhi,12530719,530,,en,87,10,Neutral
157,"No time to quibble over issues, Vice President Venkaiah Naidu tells intellectuals https://t.co/egtuqbxDE6",The Times of India,105,2020-04-01 06:50:00,TweetDeck,New Delhi,12530719,530,,en,77,5,Neutral
158,#Covid19 was confirmed in a 25-yr-old youth from UP’s Basti district almost 48 hours after he died at BRD Medical C… https://t.co/B4GY92ECCg,The Times of India,140,2020-04-01 06:42:23,Twitter Web App,New Delhi,12530719,530,Covid19,en,69,9,Positive
159,"#IPL2020 #BCCI #CoronavirusOutbreakindia #CautionYesPanicNo 

@rajasthanroyals open to shortened @IPL among Indian… https://t.co/w53AxJAOlK",The Times of India,139,2020-04-01 06:40:00,TweetDeck,New Delhi,12530719,530,IPL2020,en,34,3,Neutral
160,"We have received a list of 81 people who had attended the Markaz gathering (in Nizamuddin, Delhi). 17 in Patna and… https://t.co/Tal2penrd4",The Times of India,139,2020-04-01 06:36:03,Twitter Web App,New Delhi,12530719,530,,en,67,8,Neutral
161,"Jump in corona cases due to lack of community support, says govt https://t.co/Ydee4VVCse",The Times of India,88,2020-04-01 06:30:00,TweetDeck,New Delhi,12530719,530,,en,223,40,Controversial
162,"Two COVID-19 patients die in West Bengal, death count rises to six: Health official

#CoronavirusOutbreak… https://t.co/qcDAbZNb2B",The Times of India,130,2020-04-01 06:27:11,Twitter Web App,New Delhi,12530719,530,CoronavirusOutbreak,en,54,5,Neutral
163,23 #COVID19 cases have been reported in Bihar till today morning. State govt has decided to test all the people who… https://t.co/i0PGvDIq1p,The Times of India,140,2020-04-01 06:18:00,Twitter Web App,New Delhi,12530719,530,COVID19,en,158,14,Neutral
164,"#MSDhoni, #ViratKohli #SouravGanguly #YuvrajSingh

@msdhoni, @imVkohli didn't support me like @SGanguly99 did:… https://t.co/F7uN82pIzI",The Times of India,135,2020-04-01 06:15:00,TweetDeck,New Delhi,12530719,530,MSDhoni,en,179,18,Neutral
165,"43 new positive #COVID19 cases detected in Andhra Pradesh since 9PM on 31st March till 9AM today. With this, the to… https://t.co/kxWy3M4lrN",The Times of India,140,2020-04-01 06:11:40,TweetDeck,New Delhi,12530719,530,COVID19,en,62,16,Positive
166,"As on today, Delhi govt has 1000 beds dedicated for #COVID19 patients. It has been decided that Lok Nayak Hospital… https://t.co/0ClInp12xl",The Times of India,139,2020-04-01 06:11:10,Twitter Web App,New Delhi,12530719,530,COVID19,en,7,4,Neutral
167,"Delhi's Nizamuddin congregation: FIR registered against maulana, others of Tablighi Jamaat https://t.co/VPbE0pSX25… https://t.co/fVirqsgdU1",The Times of India,139,2020-04-01 06:10:00,TweetDeck,New Delhi,12530719,530,,en,96,18,Neutral
168,"Total 120 positive #COVID19 cases reported in Delhi. Total 750 people are admitted in hospitals across Delhi, of wh… https://t.co/kxgx3Eowib",The Times of India,140,2020-04-01 06:09:53,Twitter Web App,New Delhi,12530719,530,COVID19,en,76,10,Positive
169,The doctor working at Delhi State Cancer Institution has tested positive for #COVID19. She visited her brother's ho… https://t.co/1KOYpGioyp,The Times of India,140,2020-04-01 06:08:34,Twitter Web App,New Delhi,12530719,530,COVID19,en,42,9,Positive
170,Delhi: #NizamuddinMarkaz and the area around it being sanitised by South Delhi Municipal Corporation (Pics: ANI)… https://t.co/KWt5z3Twri,The Times of India,137,2020-04-01 06:07:27,Twitter Web App,New Delhi,12530719,530,NizamuddinMarkaz,en,65,7,Neutral
171,30 scientists find a home in deep sea on four Chennai-based ships https://t.co/x9jEpb5iym via @TOIChennai https://t.co/NfkiPJcQVK,The Times of India,129,2020-04-01 06:05:00,TweetDeck,New Delhi,12530719,530,,en,75,12,Neutral
172,Coronavirus latest updates: India reports 626 new cases in last three days https://t.co/wib1jppNGe… https://t.co/umLfkdJEks,The Times of India,123,2020-04-01 06:00:00,TweetDeck,New Delhi,12530719,530,,en,52,7,Positive
173,"Prominent Indian-origin virologist in South Africa dies from coronavirus 

On Sunday evening, in a national broadca… https://t.co/tDdGT3M2TD",The Times of India,140,2020-04-01 05:55:00,TweetDeck,New Delhi,12530719,530,,en,108,20,Positive
174,"China starts to report asymptomatic coronavirus cases 

China, where the coronavirus emerged late last year, has ma… https://t.co/GjhxvWwAAH",The Times of India,140,2020-04-01 05:50:00,TweetDeck,New Delhi,12530719,530,,en,36,12,Controversial
175,"Top headlines at this hour

For more, visit 👉 https://t.co/Tqw9O0nFTh https://t.co/ctgDWPPF1C",The Times of India,93,2020-04-01 05:49:11,Twitter Web App,New Delhi,12530719,530,,en,34,3,Positive
176,"Andhra Pradesh registers 43 new Covid-19 cases, number rises to 87

#CautionYesPanicNo #CoronavirusOutbreak… https://t.co/aH41QlHqIn",The Times of India,132,2020-04-01 05:46:51,TweetDeck,New Delhi,12530719,530,CautionYesPanicNo,en,55,8,Positive
177,"#Tennis #CoronavirusOutbreak #CautionYesPanicNo 

Top players donate, lower tier counts cost of #coronavirus shutdo… https://t.co/t2xMML3wkD",The Times of India,140,2020-04-01 05:45:00,TweetDeck,New Delhi,12530719,530,Tennis,en,30,2,Positive
178,"Isis might target cops during Covid-19 lockdown: Delhi Police 

The security has been heightened across Delhi after… https://t.co/AR8yAnKnYC",The Times of India,140,2020-04-01 05:40:00,TweetDeck,New Delhi,12530719,530,,en,138,38,Neutral
179,20 new coronavirus cases in Madhya Pradesh; tally jumps to 86 https://t.co/Q6yFScAlck via @TOICitiesNews,The Times of India,104,2020-04-01 05:35:00,TweetDeck,New Delhi,12530719,530,,en,47,10,Positive
180,"Of 2,361 people evacuated from #NizamuddinMarkaz, 617 admitted to hospitals and rest quarantined: Delhi Deputy CM M… https://t.co/dUTZHQfwGq",The Times of India,140,2020-04-01 05:34:49,Twitter Web App,New Delhi,12530719,530,NizamuddinMarkaz,en,38,7,Neutral
181,"Four water bottles, five mobiles and a migrant family on the move

TOI features the lives of migrants from all acro… https://t.co/e9ksmViydi",The Times of India,140,2020-04-01 05:30:00,TweetDeck,New Delhi,12530719,530,,en,53,8,Neutral
182,"Eight new cases of coronavirus reported from Ahmedabad, number rises to 82 in Gujarat

#CautionYesPanicNo… https://t.co/pP1VNJjJvj",The Times of India,130,2020-04-01 05:27:20,Twitter Web App,New Delhi,12530719,530,CautionYesPanicNo,en,34,10,Positive
183,"PVR, Reliance Retail invoke 'Act of God', won't pay rent https://t.co/LwvJfU7VO9 via @TOIChennai 

It has been near… https://t.co/wtXELkmSG6",The Times of India,140,2020-04-01 05:25:00,TweetDeck,New Delhi,12530719,530,,en,41,15,Positive
184,"#TablighiJamaat meet: 250+ foreigners under watch as 20 test positive in past 10 days 

A 22-year-old Malaysian wom… https://t.co/wBNwxCWYgR",The Times of India,140,2020-04-01 05:20:00,TweetDeck,New Delhi,12530719,530,TablighiJamaat,en,84,16,Positive
185,"34 people traced in Ahmednagar, including 29 foreigners who had attended the #NizamuddinMarkaz, Delhi.Out of these… https://t.co/vqvJ3pdwh0",The Times of India,139,2020-04-01 05:15:21,Twitter Web App,New Delhi,12530719,530,NizamuddinMarkaz,en,176,25,Neutral
186,"#NBA #LosAngelesLakers #CoronavirusOutbreak #CautionYesPanicNo

All @Lakers players free of #COVID19 symptoms🏀

On… https://t.co/BJ7qtXJ7tV",The Times of India,139,2020-04-01 05:15:00,TweetDeck,New Delhi,12530719,530,NBA,en,8,2,Positive
187,We got info that 62 Indonesian &amp; Malaysian nationals who took part in prayers in Delhi (Markaz) had visited Karnata… https://t.co/iMkENgJ5mc,The Times of India,144,2020-04-01 05:14:16,Twitter Web App,New Delhi,12530719,530,,en,82,10,Neutral
188,"Delhi: A doctor working at a Delhi government hospital has tested positive for #COVID19, reports ANI… https://t.co/tnXWUfHcPl",The Times of India,125,2020-04-01 05:13:56,Twitter Web App,New Delhi,12530719,530,COVID19,en,30,5,Positive
189,"ANI quotes MA Naqvi, Union Minority Affairs Minister on Markaz case: It's a Talibani crime by #TablighiJamaat, such… https://t.co/Os4T93PJEE",The Times of India,140,2020-04-01 05:13:36,Twitter Web App,New Delhi,12530719,530,TablighiJamaat,en,299,54,Neutral
190,Banks to roll out EMI waiver options soon https://t.co/gc2y2kMyyA via @TOIBusiness https://t.co/faVAdDHWsY,The Times of India,106,2020-04-01 05:10:00,TweetDeck,New Delhi,12530719,530,,en,49,11,Neutral
191,SC: Fake news spurring migrant exodus worrying https://t.co/yw797evGII https://t.co/4pvCOiwiBT,The Times of India,94,2020-04-01 05:05:00,TweetDeck,New Delhi,12530719,530,,en,65,8,Controversial
192,#AprilFoolsDay: Delhi Police has a strict warning for you https://t.co/8ev4v2mOBa via @gadgetsnow,The Times of India,97,2020-04-01 05:00:00,TweetDeck,New Delhi,12530719,530,AprilFoolsDay,en,40,5,Neutral
193,"Govt taps 92,000 NGOs to help feed and shelter lockdown-hit migrants https://t.co/HSdpVYI9rk",The Times of India,92,2020-04-01 04:55:00,TweetDeck,New Delhi,12530719,530,,en,89,5,Neutral
194,"Former #Marseille chief #PapeDiouf dies after contracting #coronavirus

READ: https://t.co/pj0msDteFs

#COVID19 https://t.co/4yjhqwekKj",The Times of India,135,2020-04-01 04:50:00,TweetDeck,New Delhi,12530719,530,Marseille,en,58,10,Neutral
195,"Govt slashes small savings rates by up to 140 basis pts 

Although the announcement move is in line with the fallin… https://t.co/tDkiPh7ZSu",The Times of India,140,2020-04-01 04:45:00,TweetDeck,New Delhi,12530719,530,,en,31,4,Controversial
196,"Woman under quarantine in Kargil moved to hospital, delivers baby boy https://t.co/ZBWsccSl28 https://t.co/R1XxSCXprq",The Times of India,117,2020-04-01 04:40:00,TweetDeck,New Delhi,12530719,530,,en,106,7,Neutral
197,"RT @TOIEditor: Fare enough

It’s not just the Chinese who eat strange things, so do lots of other people

Read today's op-ed by Jug Suraiya…",The Times of India,140,2020-04-01 04:39:37,Twitter Web App,New Delhi,12530719,530,,en,0,5,Controversial
198,"RT @TOIEditor: Q&amp;A | ‘Epidemiologic models show we need aggressive measures in the early phase … lockdown buys us time’

https://t.co/s10R9…",The Times of India,144,2020-04-01 04:39:33,Twitter Web App,New Delhi,12530719,530,,en,0,5,Positive
199,"RT @TOIEditor: The war against coronavirus

The lockdown keeps it at manageable scale, but there will be hardship in the road ahead

Read t…",The Times of India,140,2020-04-01 04:39:30,Twitter Web App,New Delhi,12530719,530,,en,0,5,Neutral
